Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldSaveAsPerQuantityIfQuantityIsNotNull,Magic Number,The method contains a magic number: 2,79
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldSaveAsPerQuantityIfQuantityIsNotNull,Magic Number,The method contains a magic number: 50,79
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldFetchANMIndicatorSummaries,Long Statement,The length of the statement "when(anmReportDataRepository.fetchByANMIdAndDate("ANM X"`parse("2012-03-26").toDate())).thenReturn(asList(new ANMReportData(anm`"CASE 1"`indicator1`date1)`new ANMReportData(anm`"CASE 2"`indicator1`date1)`new ANMReportData(anm`"CASE 3"`indicator1`date2)`new ANMReportData(anm`"CASE 4"`indicator1`date2)`new ANMReportData(anm`"CASE 5"`indicator2`date3)`new ANMReportData(anm`"CASE 6"`indicator2`date3)));" is 402.,97
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldFetchANMIndicatorSummaries,Long Statement,The length of the statement "when(annualTargetsRepository.fetchFor("ANM X"`indicator1`parse("2012-06-30").toDate())).thenReturn(new AnnualTarget(1`1`"40"`parse("2012-03-26").toDate()`parse("2013-03-25").toDate()));" is 185.,97
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldFetchANMIndicatorSummaries,Long Statement,The length of the statement "when(annualTargetsRepository.fetchFor("ANM X"`indicator2`parse("2012-06-30").toDate())).thenReturn(new AnnualTarget(1`1`"30"`parse("2012-03-26").toDate()`parse("2013-03-25").toDate()));" is 185.,97
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldFetchANMIndicatorSummaries,Magic Number,The method contains a magic number: 2,97
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldSetMonthOfSummaryToBeNextYearsInCaseOfLastMonthOfTheYear,Long Statement,The length of the statement "when(anmReportDataRepository.fetchByANMIdAndDate("ANM X"`parse("2012-03-26").toDate())).thenReturn(asList(new ANMReportData(anm`"CASE 1"`indicator`date)));" is 155.,122
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldSetMonthOfSummaryToBeNextYearsInCaseOfLastMonthOfTheYear,Long Statement,The length of the statement "when(annualTargetsRepository.fetchFor("ANM X"`indicator`parse("2013-01-30").toDate())).thenReturn(new AnnualTarget(1`1`"40"`parse("2012-03-26").toDate()`parse("2013-03-25").toDate()));" is 184.,122
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldSetMonthOfSummaryToBeNextYearsInCaseOfLastMonthOfTheYear,Long Statement,The length of the statement "assertEquals(asList(new ANMIndicatorSummary("IUD"`"40"`asList(new MonthSummary("1"`"2013"`"1"`"1"`asList("CASE 1")))))`anmIndicatorSummaries);" is 142.,122
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldFetchANMIndicatorSummariesIncludingAllServicesProvidedTillTheCurrentMonth,Long Statement,The length of the statement "when(anmReportDataRepository.fetchByANMIdAndDate("ANM X"`parse("2012-03-26").toDate())).thenReturn(asList(new ANMReportData(anm`"CASE 1"`indicator1`january)));" is 159.,136
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldFetchANMIndicatorSummariesIncludingAllServicesProvidedTillTheCurrentMonth,Long Statement,The length of the statement "when(annualTargetsRepository.fetchFor("ANM X"`indicator1`parse("2013-01-15").toDate())).thenReturn(new AnnualTarget(1`1`"40"`parse("2012-03-26").toDate()`parse("2013-03-25").toDate()));" is 185.,136
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldFetchANMIndicatorSummariesWithDistinctExternalIds,Long Statement,The length of the statement "when(anmReportDataRepository.fetchByANMIdAndDate("ANM X"`parse("2012-03-26").toDate())).thenReturn(asList(new ANMReportData(anm`"CASE 7"`indicator`dates)`new ANMReportData(anm`"CASE 7"`indicator`dates)));" is 204.,152
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldFetchANMIndicatorSummariesWithDistinctExternalIds,Long Statement,The length of the statement "when(annualTargetsRepository.fetchFor("ANM X"`indicator`parse("2013-03-22").toDate())).thenReturn(new AnnualTarget(1`1`"20"`parse("2012-03-26").toDate()`parse("2013-03-25").toDate()));" is 184.,152
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldReturnANMIndicatorSummariesWithNullAnnualTargetWhenThereIsNoAnnualTargetForANM,Long Statement,The length of the statement "when(anmReportDataRepository.fetchByANMIdAndDate("ANM X"`parse("2012-03-26").toDate())).thenReturn(asList(new ANMReportData(anm`"CASE 1"`indicator`date1)`new ANMReportData(anm`"CASE 2"`indicator`date1)`new ANMReportData(anm`"CASE 3"`indicator`date2)`new ANMReportData(anm`"CASE 4"`indicator`date2)));" is 300.,207
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldReturnAllANMReports,Long Statement,The length of the statement "when(anmReportDataRepository.fetchByANMIdAndDate("ANM X"`parse("2012-03-26").toDate())).thenReturn(asList(new ANMReportData(anmX`"CASE 1"`indicator1`date1)`new ANMReportData(anmX`"CASE 2"`indicator1`date1)`new ANMReportData(anmX`"CASE 3"`indicator1`date2)`new ANMReportData(anmX`"CASE 4"`indicator1`date2)));" is 308.,227
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldReturnAllANMReports,Long Statement,The length of the statement "when(anmReportDataRepository.fetchByANMIdAndDate("ANM Y"`parse("2012-03-26").toDate())).thenReturn(asList(new ANMReportData(anmY`"CASE 5"`indicator2`date3)`new ANMReportData(anmY`"CASE 6"`indicator2`date3)));" is 208.,227
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldReturnAllANMReports,Long Statement,The length of the statement "when(annualTargetsRepository.fetchFor("ANM X"`indicator1`parse("2012-06-30").toDate())).thenReturn(new AnnualTarget(1`1`"40"`parse("2012-03-26").toDate()`parse("2013-03-25").toDate()));" is 185.,227
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldReturnAllANMReports,Long Statement,The length of the statement "when(annualTargetsRepository.fetchFor("ANM Y"`indicator2`parse("2012-06-30").toDate())).thenReturn(new AnnualTarget(1`1`"30"`parse("2012-03-26").toDate()`parse("2013-03-25").toDate()));" is 185.,227
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldReturnAllANMReports,Magic Number,The method contains a magic number: 2,227
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldUpdateAllIndicatorsForReportingMonthForAllANMS,Long Statement,The length of the statement "ReportDataUpdateRequest request=new ReportDataUpdateRequest().withType("type").withIndicator(indicator).withStartDate("2013-01-26").withEndDate("2013-02-25").withReportingData(asList(reportingData));" is 199.,258
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldUpdateAllIndicatorsForReportingMonthForAllANMS,Magic Number,The method contains a magic number: 2,258
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ANMReportsRepositoryTest,shouldUpdateAllIndicatorsForReportingMonthForAllANMS,Magic Number,The method contains a magic number: 2,258
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,setUp,Long Statement,The length of the statement "repository=new ServicesProvidedRepository(indicatorRepository`locationRepository`serviceProvidersRepository`servicesProvidedRepository`monitor);" is 144.,45
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveReportDataAndUseCachedRepositories,Long Statement,The length of the statement "repository.save(anmIdentifier`"ANM"`externalId`indicator`"2012-04-04"`village`subCenter`phc.phcIdentifier()`null`dristhiEntityId);" is 130.,51
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveReportDataAndUseCachedRepositories,Long Statement,The length of the statement "repository.save(anmIdentifier`"ANM"`externalId`indicator`"2012-04-04"`village`subCenter`phc.phcIdentifier()`null`dristhiEntityId);" is 130.,51
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveReportDataAndUseCachedRepositories,Long Statement,The length of the statement "verify(servicesProvidedRepository`times(2)).save(serviceProvider`"12345"`fetchedIndicator`date`location`dristhiEntityId);" is 121.,51
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveReportDataAndUseCachedRepositories,Magic Number,The method contains a magic number: 34,51
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveReportDataAndUseCachedRepositories,Magic Number,The method contains a magic number: 2,51
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveReportDataAndUseCachedRepositories,Magic Number,The method contains a magic number: 2,51
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveReportDataAndUseCachedRepositories,Magic Number,The method contains a magic number: 2,51
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveReportDataAndUseCachedRepositories,Magic Number,The method contains a magic number: 2,51
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveReportDataAndUseCachedRepositories,Magic Number,The method contains a magic number: 2,51
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveReportDataAndUseCachedRepositories,Magic Number,The method contains a magic number: 2,51
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveReportDataAndUseCachedRepositories,Magic Number,The method contains a magic number: 2,51
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveAsPerQuantityIfQuantityIsNotNull,Long Statement,The length of the statement "repository.save(anmIdentifier`"ANM"`externalId`indicator`"2012-04-04"`village`subCenter`phc.phcIdentifier()`"40"`dristhiEntityId);" is 130.,77
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveAsPerQuantityIfQuantityIsNotNull,Long Statement,The length of the statement "verify(servicesProvidedRepository`times(40)).save(serviceProvider`"12345"`fetchedIndicator`date`location`dristhiEntityId);" is 122.,77
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveAsPerQuantityIfQuantityIsNotNull,Magic Number,The method contains a magic number: 34,77
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveAsPerQuantityIfQuantityIsNotNull,Magic Number,The method contains a magic number: 2,77
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveAsPerQuantityIfQuantityIsNotNull,Magic Number,The method contains a magic number: 2,77
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveAsPerQuantityIfQuantityIsNotNull,Magic Number,The method contains a magic number: 2,77
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveAsPerQuantityIfQuantityIsNotNull,Magic Number,The method contains a magic number: 2,77
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldSaveAsPerQuantityIfQuantityIsNotNull,Magic Number,The method contains a magic number: 40,77
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldUpdateListOfServiceProvidedIndicatorRowsForReportingMonthForAllANMs,Long Statement,The length of the statement "ReportDataUpdateRequest request=new ReportDataUpdateRequest().withType("type").withIndicator(indicator).withStartDate(startDate).withEndDate(endDate).withReportingData(asList(reportingData));" is 191.,100
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldUpdateListOfServiceProvidedIndicatorRowsForReportingMonthForAllANMs,Magic Number,The method contains a magic number: 34,100
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldUpdateListOfServiceProvidedIndicatorRowsForReportingMonthForAllANMs,Magic Number,The method contains a magic number: 2,100
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldUpdateListOfServiceProvidedIndicatorRowsForReportingMonthForAllANMs,Magic Number,The method contains a magic number: 2,100
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldUpdateListOfServiceProvidedIndicatorRowsForReportingMonthForAllANMs,Magic Number,The method contains a magic number: 2,100
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldUpdateListOfServiceProvidedIndicatorRowsForReportingMonthForAllANMs,Magic Number,The method contains a magic number: 2,100
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldCallServiceProvidedRepositoryForReports,Magic Number,The method contains a magic number: 1232,157
SEL-columbia_dristhi,org.ei.drishti.reporting.repository,ServicesProvidedRepositoryTest,shouldCallServiceProvidedRepositoryForReports,Magic Number,The method contains a magic number: 1232,157
SEL-columbia_dristhi,org.ei.drishti.reporting.service,AggregateReportsService,AggregateReportsService,Long Parameter List,The method has 7 parameters. ,49
SEL-columbia_dristhi,org.ei.drishti.reporting.service,AggregateReportsService,sendReportsToAggregator,Long Statement,The length of the statement "logger.error(MessageFormat.format("{0} occurred while trying to aggregate reports. Message: {1} with stack trace {2}"`e.toString()`e.getMessage()`getFullStackTrace(e)));" is 169.,64
SEL-columbia_dristhi,org.ei.drishti.reporting.service,AggregateReportsService,update,Long Statement,The length of the statement "throw new RuntimeException(format("Updating data to Aggregator with url {0} failed with error: {0}"`aggregatorDataSetUrl`response.body()));" is 139.,89
SEL-columbia_dristhi,org.ei.drishti.reporting.service,AggregateReportsService,mapDomainToDTO,Long Statement,The length of the statement "return new ServiceProvidedReportDTO(report.id()`report.anmIdentifier()`report.type()`report.indicator()`LocalDate.parse(report.date())`report.village()`report.subCenter()`report.phc()`report.taluka()`report.district()`report.state()).withNRHMReportMonth(reportMonth.reportingMonth(LocalDate.parse(report.date()))).withNRHMReportYear(reportMonth.reportingYear(LocalDate.parse(report.date())));" is 392.,110
SEL-columbia_dristhi,org.ei.drishti.reporting.service,AggregateReportsService,sendToAggregator,Long Statement,The length of the statement "logger.info(format("Sending report data to Aggregator. URL: {0}` data: {1}"`aggregatorDataSetUrl`"update=" + reportJson));" is 122.,126
SEL-columbia_dristhi,org.ei.drishti.reporting.service,AggregateReportsService,whereClauseParam,Long Statement,The length of the statement "return new BasicNameValuePair("query"`"{\"anm_identifier\": \"" + anmIdentifier + "\"`\"nrhm_report_year\":"+ year+ "` \"nrhm_report_month\":"+ month+ "}");" is 156.,144
SEL-columbia_dristhi,org.ei.drishti.reporting.service,AggregateReportsServiceTest,setUp,Long Statement,The length of the statement "aggregateReportsService=new AggregateReportsService("bamboo.url"`"bamboo.aggregated.url"`batchSizeToUpdate`httpAgent`tokenRepository`servicesProvidedRepository`reportMonth);" is 173.,39
SEL-columbia_dristhi,org.ei.drishti.reporting.service,AggregateReportsServiceTest,shouldSendReportsWithNRHMReportingMonthToAggregator,Long Statement,The length of the statement "when(servicesProvidedRepository.getNewReports(0`batchSizeToUpdate)).thenReturn(asList(new ServiceProvidedReport().withId(1).withDate(LocalDate.parse("2012-11-26").toDate())`new ServiceProvidedReport().withId(2).withDate(LocalDate.parse("2012-12-28").toDate())));" is 262.,45
SEL-columbia_dristhi,org.ei.drishti.reporting.service,AggregateReportsServiceTest,shouldSendReportsWithNRHMReportingMonthToAggregator,Long Statement,The length of the statement "String reportJson=new Gson().toJson(asList(new ServiceProvidedReportDTO().withDate(LocalDate.parse("2012-11-26")).withNRHMReportMonth(12).withNRHMReportYear(2012).withId(1)`new ServiceProvidedReportDTO().withDate(LocalDate.parse("2012-12-28")).withNRHMReportMonth(1).withNRHMReportYear(2013).withId(2)));" is 304.,45
SEL-columbia_dristhi,org.ei.drishti.reporting.service,AggregateReportsServiceTest,shouldSendReportsWithNRHMReportingMonthToAggregator,Magic Number,The method contains a magic number: 2,45
