Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.test,MinecraftProtocolTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.test,MinecraftProtocolTest,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ClientboundLoginPacket; ClientboundSystemChatPacket in method login
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.test,MinecraftProtocolTest,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ClientboundLoginPacket; ClientboundSystemChatPacket in method login
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ClientListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ClientListener,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ClientboundHelloPacket; ClientboundGameProfilePacket; ClientboundLoginDisconnectPacket; ClientboundLoginCompressionPacket; ClientboundStatusResponsePacket; ClientboundPongResponsePacket; ClientboundKeepAlivePacket; ClientboundDisconnectPacket in method packetReceived
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ClientListener,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ClientboundHelloPacket; ClientboundGameProfilePacket; ClientboundLoginDisconnectPacket; ClientboundLoginCompressionPacket; ClientboundStatusResponsePacket; ClientboundPongResponsePacket; ClientboundKeepAlivePacket; ClientboundDisconnectPacket in method packetReceived
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,MinecraftProtocol,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ServerListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ServerListener,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ClientIntentionPacket; ServerboundHelloPacket; ServerboundKeyPacket; ServerboundStatusRequestPacket; ServerboundPingRequestPacket; ServerboundKeepAlivePacket in method packetReceived
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol,ServerListener,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ClientIntentionPacket; ServerboundHelloPacket; ServerboundKeyPacket; ServerboundStatusRequestPacket; ServerboundPingRequestPacket; ServerboundKeepAlivePacket in method packetReceived
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data,UnmappedKeyException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.handshake,HandshakeIntent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.status,VersionInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: versionName; protocolVersion
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.status,ServerStatusInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: versionInfo; playerInfo; description; iconPng; previewsChat
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.status,ServerStatusInfo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: versionInfo; playerInfo; description; iconPng; previewsChat
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.status,PlayerInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: maxPlayers; onlinePlayers; players
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.advancement,Advancement.DisplayData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.advancement,Advancement.DisplayData,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: title; description; icon; frameType; showToast; hidden; posX; posY; backgroundTexture
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.advancement,Advancement.FrameType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.advancement,Advancement.FrameType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game,PlayerListEntryAction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game,BossBarAction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game,ResourcePackStatus,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game,BuiltinChatType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: resourceLocation; BY_RESOURCE_LOCATION
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game,ClientCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game,UnlockRecipesAction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game,BossBarColor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game,BossBarDivision,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.scoreboard,TeamColor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: VALUES
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.scoreboard,TeamColor,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: VALUES
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.scoreboard,ScoreboardPosition,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.scoreboard,TeamAction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.scoreboard,ScoreType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.scoreboard,NameTagVisibility,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.scoreboard,ScoreboardAction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.scoreboard,CollisionRule,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.scoreboard,ObjectiveAction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command,CommandParser,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command,CommandType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command,SuggestionType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command,CommandNode,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: type; executable; childIndices; redirectIndex; name; parser; properties; suggestionType
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command.properties,IntegerProperties,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CommandProperties
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command.properties,DoubleProperties,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CommandProperties
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command.properties,FloatProperties,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CommandProperties
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command.properties,EntityProperties,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: singleTarget; playersOnly
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command.properties,ScoreHolderProperties,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: allowMultiple
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command.properties,RangeProperties,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: allowDecimals
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command.properties,RangeProperties,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command.properties,StringProperties,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command.properties,LongProperties,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: min; max
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.command.properties,ResourceProperties,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CommandProperties
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.recipe.data,StoneCuttingRecipeData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: group; ingredient; result
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.recipe.data,ShapelessRecipeData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: group; ingredients; result
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.recipe.data,SmithingRecipeData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: base; addition; result
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.recipe.data,CookedRecipeData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: group; ingredient; result; experience; cookingTime
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.recipe.data,CookedRecipeData,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: group; ingredient; result; experience; cookingTime
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.recipe.data,ShapedRecipeData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: width; height; group; ingredients; result
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.recipe.data,ShapedRecipeData,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: width; height; group; ingredients; result
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.recipe,Ingredient,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: options
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.recipe,RecipeType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.recipe,Recipe,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: type; identifier; data
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.statistic,CraftItemStatistic,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.statistic,BreakItemStatistic,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.statistic,BreakBlockStatistic,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.statistic,KillEntityStatistic,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: entity
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.statistic,StatisticCategory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: VALUES
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.statistic,UseItemStatistic,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.statistic,StatisticFormat,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.statistic,KilledByEntityStatistic,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: entity
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.statistic,CustomStatistic,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: VALUES; format
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.statistic,CustomStatistic,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.statistic,PickupItemStatistic,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.statistic,DropItemStatistic,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.level.event,ComposterEventData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.level.event,SculkBlockChargeEventData,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): LevelEventData
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.level.event,DragonFireballEventData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.level.event,SmokeEventData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.level.event,LevelEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.level.event,BreakBlockEventData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: blockState
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.level.event,BonemealGrowEventData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: particleCount
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.level.event,RecordEventData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: recordId
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.level.event,BreakPotionEventData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: potionId
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.level.sound,SoundCategory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: VALUES
Steveice10_MCProtocolLib,com.github.steveice10.mc.protocol.data.game.level.sound,CustomSound,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
