Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobExecutionMapper,getDescription,Long Statement,The length of the statement "return jobExec.getJobParameters().getLong(JobStartParams.MONTH) + "/" + jobExec.getJobParameters().getLong(JobStartParams.YEAR)+ "` id :"+ jobExec.getId();" is 155.,48
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,SpringBatchAndBatchRepositoryCleaner,deleteEverythingFromRepositories,Long Identifier,The length of the field taxWebserviceCallResultRepository is 33.,35
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobExecutionMapperTest,testToJobResultTo,Magic Number,The method contains a magic number: 1000,32
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacadeTest,setUp,Magic Number,The method contains a magic number: 2000.0,51
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacadeTest,whenPreviousCallResultIsFailed_andCallReturnsValid_callResultIsReturned,Long Identifier,The length of the field taxWebserviceCallResultRepository is 33.,58
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacadeTest,whenPreviousCallResultIsFailed_andCallReturnsValid_callResultIsReturned,Long Statement,The length of the statement "TaxWebserviceCallResult actualTaxWebserviceCallResult=taxPaymentWebServiceFacade.callTaxService(taxCalculation`taxServiceCallResultCallable);" is 141.,58
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacadeTest,whenPreviousCallResultIsFailed_andCallReturnsException_exceptionIsReturned,Long Identifier,The length of the field taxWebserviceCallResultRepository is 33.,67
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacadeTest,whenPreviousCallResultIsFailed_andCallReturnsException_exceptionIsReturned,Long Statement,The length of the statement "when(taxServiceCallResultCallable.call()).thenThrow(new TaxWebServiceNonFatalException(new EmployeeTestBuilder().build()`Money.of(CurrencyUnit.EUR`10)`HttpStatus.INTERNAL_SERVER_ERROR`null`"boe"));" is 197.,67
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacadeTest,whenPreviousCallResultIsFailed_andCallReturnsException_exceptionIsReturned,Long Statement,The length of the statement "expectExceptionWithMessage(TaxWebServiceNonFatalException.class`"Paying the taxes for employee with id null with amount EUR 10.00 failed because of boe");" is 154.,67
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacadeTest,whenPreviousCallResultIsFailed_andCallReturnsException_exceptionIsReturned,Magic Number,The method contains a magic number: 10,67
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacadeTest,whenPreviousCallResultIsValid_thenPreviousCallResultIsReturned,Long Identifier,The length of the field taxWebserviceCallResultRepository is 33.,77
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacadeTest,whenPreviousCallResultIsValid_thenPreviousCallResultIsReturned,Long Statement,The length of the statement "when(taxWebserviceCallResultRepository.findSuccessfulByTaxCalculation(taxCalculation)).thenReturn(taxWebserviceCallResultValid);" is 128.,77
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxPaymentWebServiceFacadeTest,whenPreviousCallResultIsValid_thenPreviousCallResultIsReturned,Long Statement,The length of the statement "assertThat(taxPaymentWebServiceFacade.callTaxService(taxCalculation`taxServiceCallResultCallable)).isEqualTo(taxWebserviceCallResultValid);" is 139.,77
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,SpringBatchAndBatchRepositoryCleanerTest,testDeleteAll,Long Identifier,The length of the field taxWebserviceCallResultRepository is 33.,35
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,SpringBatchAndBatchRepositoryCleanerTest,testDeleteAll,Magic Number,The method contains a magic number: 6,35
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,SpringBatchAndBatchRepositoryCleanerTest,testDeleteAll,Magic Number,The method contains a magic number: 6,35
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_DifferentDates_SortingIsDescOnYearAndMonth,Long Statement,The length of the statement "when(jobExplorer.findJobInstancesByJobName(EmployeeJobConfigSingleJvm.EMPLOYEE_JOB`0`MAX_VALUE)).thenReturn(jobInstances);" is 122.,46
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_DifferentDates_SortingIsDescOnYearAndMonth,Long Statement,The length of the statement "when(jobExplorer.getJobExecutions(jobInstance2)).thenReturn(asList(jobInstance2_jobExecution1`jobInstance2_jobExecution2));" is 123.,46
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_DifferentDates_SortingIsDescOnYearAndMonth,Magic Number,The method contains a magic number: 2L,46
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_DifferentDates_SortingIsDescOnYearAndMonth,Magic Number,The method contains a magic number: 2014,46
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_DifferentDates_SortingIsDescOnYearAndMonth,Magic Number,The method contains a magic number: 5,46
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_DifferentDates_SortingIsDescOnYearAndMonth,Magic Number,The method contains a magic number: 2013,46
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_DifferentDates_SortingIsDescOnYearAndMonth,Magic Number,The method contains a magic number: 6,46
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_DifferentDates_SortingIsDescOnYearAndMonth,Magic Number,The method contains a magic number: 2013,46
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_DifferentDates_SortingIsDescOnYearAndMonth,Magic Number,The method contains a magic number: 6,46
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_DifferentDates_SortingIsDescOnYearAndMonth,Magic Number,The method contains a magic number: 6,46
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_SameDates_SortingIsDescOnDate,Long Statement,The length of the statement "when(jobExplorer.findJobInstancesByJobName(EmployeeJobConfigSingleJvm.EMPLOYEE_JOB`0`MAX_VALUE)).thenReturn(asList(jobInstance1));" is 130.,74
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_SameDates_SortingIsDescOnDate,Long Statement,The length of the statement "JobExecution jobInstance1_jobExecution1=new JobExecution(jobInstance1`1L`createJobParameters(dateTime.getYear()`dateTime.getMonthOfYear())`null);" is 145.,74
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_SameDates_SortingIsDescOnDate,Long Statement,The length of the statement "JobExecution jobInstance1_jobExecution2=new JobExecution(jobInstance1`2L`createJobParameters(dateTime.getYear()`dateTime.getMonthOfYear())`null);" is 145.,74
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_SameDates_SortingIsDescOnDate,Long Statement,The length of the statement "when(jobExplorer.getJobExecutions(jobInstance1)).thenReturn(asList(jobInstance1_jobExecution1`jobInstance1_jobExecution2));" is 123.,74
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_SameDates_SortingIsDescOnDate,Long Statement,The length of the statement "assertThat(jobResults.get(0).getJobExecutionResults().get(0).getEndTime()).isAfter(jobResults.get(0).getJobExecutionResults().get(1).getEndTime());" is 147.,74
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_SameDates_SortingIsDescOnDate,Magic Number,The method contains a magic number: 3,74
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_SameDates_SortingIsDescOnDate,Magic Number,The method contains a magic number: 2L,74
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetFinishedJobResults_SameDates_SortingIsDescOnDate,Magic Number,The method contains a magic number: 4,74
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobResults_Returns_Last6Months,Magic Number,The method contains a magic number: 6,95
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 3,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 2014,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 6,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 2,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 2,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 2,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 3,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 12,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 3,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 4,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 11,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 4,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 5,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 10,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,testGetJobStartParamsPreviousMonths,Magic Number,The method contains a magic number: 5,102
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplTest,createJobParameters,Long Statement,The length of the statement "return new JobParametersBuilder().addLong(JobStartParams.YEAR`year).addLong(JobStartParams.MONTH`month).toJobParameters();" is 122.,140
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,JobResultsServiceImplITest,testJobResults,Magic Number,The method contains a magic number: 6,29
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service,TaxCalculatorJobServiceTest,setUpJobLauncher,Long Statement,The length of the statement "setInternalState(taxCalculatorJobService`"jobStartListeners"`asList(jobStartListenerMock1`jobStartListenerMock2).stream().collect(toSet()));" is 140.,56
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service.reporting,MonthlyTaxReportServiceTest,generateReportWithCorrectData,Magic Number,The method contains a magic number: 3L,52
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service.reporting,MonthlyTaxReportServiceTest,generateReportWithCorrectData,Magic Number,The method contains a magic number: 5,52
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.service.reporting,MonthlyTaxReportServiceTest,testResultsArePersisted,Magic Number,The method contains a magic number: 3L,70
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.tasklet,JobResultsTaskletTest,testExecuteCallsService,Long Statement,The length of the statement "when(chunkContextMock.getStepContext()).thenReturn(new StepContext(new StepExecution("stepName"`new JobExecution(JOB_EXECUTION_ID)`123L)));" is 139.,31
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.tasklet,JobResultsTaskletTest,testExecuteCallsService,Magic Number,The method contains a magic number: 123L,31
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.tasklet,JobResultsTaskletTest,testExecuteCallsService,Magic Number,The method contains a magic number: 2L,31
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.tasklet,JobResultsTaskletTest,testExecuteCallsService,Magic Number,The method contains a magic number: 2015L,31
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.tasklet,JobResultsTaskletTest,testExecuteCallsService,Magic Number,The method contains a magic number: 12345L,31
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.tasklet,JobResultsTaskletTest,testExecuteCallsService,Magic Number,The method contains a magic number: 2015,31
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.tasklet,JobResultsTaskletTest,testExecuteCallsService,Magic Number,The method contains a magic number: 2,31
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,AbstractEmployeeJobConfig,taxCalculationStep,Long Statement,The length of the statement "return stepBuilders.get(stepName).<Employee`TaxCalculation>chunk(5).reader(taxCalculatorItemReader).processor(calculateTaxProcessor).writer(taxCalculatorItemWriter).taskExecutor(taskExecutor).listener(taxCalculationStepProgressListener()).allowStartIfComplete(true).build();" is 274.,73
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,AbstractEmployeeJobConfig,taxCalculationStep,Magic Number,The method contains a magic number: 5,73
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,AbstractEmployeeJobConfig,wsCallAndGenerateAndSendPaycheckStep,Long Identifier,The length of the field maxConsecutiveExceptionsSkipPolicy is 34.,88
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,AbstractEmployeeJobConfig,wsCallAndGenerateAndSendPaycheckStep,Long Identifier,The length of the field createMonthlyTaxForEmployeeListener is 35.,88
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,AbstractEmployeeJobConfig,wsCallAndGenerateAndSendPaycheckStep,Long Identifier,The length of the field failedStepStepExecutionListener is 31.,88
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,AbstractEmployeeJobConfig,wsCallAndGenerateAndSendPaycheckStep,Long Statement,The length of the statement "return stepBuilders.get(stepName).<TaxCalculation`PayCheck>chunk(5).faultTolerant().skipPolicy(maxConsecutiveExceptionsSkipPolicy).noRollback(TaxWebServiceNonFatalException.class).noRollback(EmailSenderException.class).reader(wsCallItemReader).processor(compositeItemProcessor).writer(wsCallItemWriter).listener(createMonthlyTaxForEmployeeListener).listener(maxConsecutiveExceptionsSkipPolicy).listener(failedStepStepExecutionListener).listener(singleJVMJobProgressListener).allowStartIfComplete(true).taskExecutor(taskExecutor).build();" is 537.,88
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,AbstractEmployeeJobConfig,wsCallAndGenerateAndSendPaycheckStep,Magic Number,The method contains a magic number: 5,88
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,EmployeeJobTestConfig,dataSourcePopulator,Long Statement,The length of the statement "databasePopulator.setScripts(new ClassPathResource("org/springframework/batch/core/schema-drop-hsqldb.sql")`new ClassPathResource("org/springframework/batch/core/schema-hsqldb.sql"));" is 183.,30
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,RetryConfigTest,whenRetryCallbackFails_retryTimeIsExponential,Long Statement,The length of the statement "when(retryCallback.doWithRetry(any(RetryContext.class))).thenThrow(new TaxWebServiceNonFatalException(new EmployeeTestBuilder().build()`Money.of(CurrencyUnit.EUR`10)`null`null`"boe")).thenThrow(new TaxWebServiceNonFatalException(new EmployeeTestBuilder().build()`Money.of(CurrencyUnit.EUR`10)`null`null`"boe")).thenReturn(any());" is 329.,37
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,RetryConfigTest,whenRetryCallbackFails_retryTimeIsExponential,Magic Number,The method contains a magic number: 10,37
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,RetryConfigTest,whenRetryCallbackFails_retryTimeIsExponential,Magic Number,The method contains a magic number: 10,37
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,RetryConfigTest,whenRetryCallbackFails_retryTimeIsExponential,Magic Number,The method contains a magic number: 3,37
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config,RetryConfigTest,whenRetryCallbackFails_retryTimeIsExponential,Magic Number,The method contains a magic number: 300,37
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListener,afterWrite,Magic Number,The method contains a magic number: 100,54
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,CreateMonthlyTaxForEmployeeListener,afterProcess,Long Identifier,The length of the field monthlyTaxForEmployeeRepository is 31.,19
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,CreateMonthlyTaxForEmployeeListener,afterProcess,Long Statement,The length of the statement "MonthlyTaxForEmployee monthlyTaxForEmployee=MonthlyTaxForEmployee.from(item.getEmployee()`item.getYear()`item.getMonth()`item.getTax()`result.getPayCheckPdf());" is 160.,19
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,CreateMonthlyTaxForEmployeeListener,onProcessError,Long Identifier,The length of the field monthlyTaxForEmployeeRepository is 31.,25
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,CreateMonthlyTaxForEmployeeListener,onProcessError,Long Statement,The length of the statement "MonthlyTaxForEmployee monthlyTaxForEmployee=MonthlyTaxForEmployee.from(item.getEmployee()`item.getYear()`item.getMonth()`item.getTax()`e.getMessage());" is 151.,25
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,ChangeStatusOnFailedStepsJobExecListener,afterJob,Long Statement,The length of the statement "List<StepExecution> failedStepExecutions=jobExecution.getStepExecutions().stream().filter(stepExecution -> stepExecution.getExitStatus().getExitCode().equals(ExitStatus.FAILED.getExitCode())).collect(Collectors.toList());" is 221.,16
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,FailedStepStepExecutionListenerTest,testAfterStep_returns_FailedExitStatus_whenRead_And_Write_Count_Dont_Match,Long Identifier,The length of the field failedStepStepExecutionListener is 31.,24
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,FailedStepStepExecutionListenerTest,testAfterStep_returns_FailedExitStatus_whenRead_And_Write_Count_Dont_Match,Magic Number,The method contains a magic number: 2,24
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,FailedStepStepExecutionListenerTest,testAfterStep_returns_CompletedExitStatus_whenRead_And_Write_Match,Long Identifier,The length of the field failedStepStepExecutionListener is 31.,34
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,FailedStepStepExecutionListenerTest,testAfterStep_returns_CompletedExitStatus_whenRead_And_Write_Match,Magic Number,The method contains a magic number: 2,34
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,FailedStepStepExecutionListenerTest,testAfterStep_returns_CompletedExitStatus_whenRead_And_Write_Match,Magic Number,The method contains a magic number: 2,34
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,ChangeStatusOnFailedStepsJobExecListenerTest,testAfterJobJobExecutionHasBatchStatusFailedWhenWeHaveStepsWithStatusNotCompleted,Long Identifier,The length of the field changeStatusOnFailedStepsJobExecListener is 40.,16
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,ChangeStatusOnFailedStepsJobExecListenerTest,testAfterJobJobExecutionHasBatchStatusUnchangedWhenAllStepsCompleted,Long Identifier,The length of the field changeStatusOnFailedStepsJobExecListener is 40.,31
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith1000Employees_whenWritingOneItem_thenNoNewEventIsTriggered,Magic Number,The method contains a magic number: 1000,51
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith100Employees_whenWritingOneItem_thenAProgressEventIsTriggered,Magic Number,The method contains a magic number: 100,62
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith100Employees_whenWritingOneItem_thenAProgressEventIsTriggered,Magic Number,The method contains a magic number: 2,62
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith1000Employees_when999ItemsAreWrittenTwice_thenProgressIs99,Magic Number,The method contains a magic number: 1000,73
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith1000Employees_when999ItemsAreWrittenTwice_thenProgressIs99,Magic Number,The method contains a magic number: 999,73
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith1000Employees_when999ItemsAreWrittenTwice_thenProgressIs99,Magic Number,The method contains a magic number: 2,73
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith1000Employees_when999ItemsAreWrittenTwice_thenProgressIs99,Magic Number,The method contains a magic number: 99,73
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStarted_whenWritingAllItemsAtOnce_thenAnEventWith100ProgressIsTriggered,Magic Number,The method contains a magic number: 100,85
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStarted_whenWritingAllItemsAtOnce_thenAnEventWith100ProgressIsTriggered,Magic Number,The method contains a magic number: 100,85
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStarted_whenWritingAllItemsAtOnce_thenAnEventWith100ProgressIsTriggered,Magic Number,The method contains a magic number: 2,85
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStarted_whenWritingAllItemsAtOnce_thenAnEventWith100ProgressIsTriggered,Magic Number,The method contains a magic number: 100,85
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith100Employees_when5ItemsAreWritten_thenAnEventIsTriggeredWithProgress,Magic Number,The method contains a magic number: 100,96
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith100Employees_when5ItemsAreWritten_thenAnEventIsTriggeredWithProgress,Magic Number,The method contains a magic number: 25,96
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith100Employees_when5ItemsAreWritten_thenAnEventIsTriggeredWithProgress,Magic Number,The method contains a magic number: 25,96
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith100Employees_when5ItemsAreWritten_thenAnEventIsTriggeredWithProgress,Magic Number,The method contains a magic number: 25,96
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith100Employees_when5ItemsAreWritten_thenAnEventIsTriggeredWithProgress,Magic Number,The method contains a magic number: 25,96
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith100Employees_when5ItemsAreWritten_thenAnEventIsTriggeredWithProgress,Magic Number,The method contains a magic number: 5,96
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith100Employees_when5ItemsAreWritten_thenAnEventIsTriggeredWithProgress,Magic Number,The method contains a magic number: 25,96
cegeka_batchers,be.cegeka.batchers.taxcalculator.batch.config.listeners,SingleJVMJobProgressListenerTest,givenAStepStartedWith100Employees_when5ItemsAreWritten_thenAnEventIsTriggeredWithProgress,Magic Number,The method contains a magic number: 2,96
